celltype_HCA_fine,Organ,n_cells
Immune_uNK2,Reproductive tract,4
Immune_uNK3,Uterus,7927
Immune_uNK3,Fallopian Tube,1776
Immune_uNK3,Ovary,499
Immune_uNK3,Cervix,339
Immune_uNK3,Vagina,72
Immune_uNK3,Reproductive tract,71
Immune_uNK3,Mesonephros,4
Immune_uftLAM,Fallopian Tube,2171
Immune_uftLAM,Uterus,371
Immune_uftLAM,Reproductive tract,135
Immune_uftLAM,Ovary,69
Immune_uftLAM,Cervix,10
Immune_uftLAM,Vagina,3
Immune_uftLAM,Mesonephros,1
Immune_γδT_Vγ9Vδ2,Ovary,720
Immune_γδT_Vγ9Vδ2,Uterus,36
Immune_γδT_Vγ9Vδ2,Fallopian Tube,14
Immune_γδT_Vγ9Vδ2,Reproductive tract,8
Immune_γδT_Vγ9Vδ2,Cervix,2
Immune_γδT_Vγ9Vδ2,Vagina,1
Mesen_AdvFibs,Uterus,19
Mesen_AdvFibsIntr,Fallopian Tube,15803
Mesen_AdvFibsIntr,Uterus,10481
Mesen_AdvFibsIntr,Ovary,7333
Mesen_AdvFibsIntr,Vagina,178
Mesen_AdvFibs_PI16hi,Fallopian Tube,3009
Mesen_AdvFibs_PI16hi,Uterus,11
Mesen_AdvFibs_PI16hi,Vagina,9
Mesen_AdvFibs_PI16hi,Ovary,3
Mesen_AdvFibs_PI16low,Fallopian Tube,15984
Mesen_AdvFibs_PI16low,Vagina,1794
Mesen_AdvFibs_PI16low,Ovary,411
Mesen_AdvFibs_PI16low,Uterus,171
Mesen_CervixFib_Fetal,Reproductive tract,11889
Mesen_CervixFib_Fetal,Ovary,27
Mesen_CervixFibs,Cervix,426
Mesen_CervixFibs,Vagina,26
Mesen_CervixVaginaSMCs_Fetal,Reproductive tract,11552
Mesen_CervixVaginaSMCs_Fetal,Ovary,17
Mesen_CorpusCavernosumFib_Fetal,Reproductive tract,9472
Mesen_CorpusSpongiosumFib_Fetal,Reproductive tract,10168
Mesen_CorpusSpongiosumFib_Fetal,Ovary,1
Mesen_EndoGlandBas,Uterus,535
Mesen_EndoStromalFib_Menopause,Uterus,2855
Mesen_EndoStromalFib_MenstrualEutopic,Uterus,13034
Mesen_EndoStromalFib_MenstrualFluid,Uterus,27092
Mesen_EndoStromalFib_Prolif,Uterus,164476
Mesen_EndoStromalFib_Prolif_Cyc,Uterus,32491
Mesen_EndoStromalFib_eSec,Uterus,17251
Mesen_EndoStromalFib_lSec,Uterus,36137
Mesen_EndoStromalFib_mSec,Uterus,103861
Mesen_EndoStromalFib_nEMC,Uterus,48007
Mesen_EndoStromalFib_nEMC_Cyc,Uterus,12895
Mesen_EndoStromalFib_nEMC_Sec,Uterus,50283
Mesen_EpoophronFib_Fetal,Ovary,7160
Mesen_EpoophronFib_Fetal,Reproductive tract,6714
Mesen_EpoophronFib_Fetal,Mesonephros,3
Mesen_FallopianFib_Fetal,Reproductive tract,30164
Mesen_FallopianFib_Fetal,Ovary,10707
Mesen_FallopianFib_Fetal,Mesonephros,221
Mesen_FallopianFibs,Fallopian Tube,64649
Mesen_FallopianLig_Fetal,Reproductive tract,12900
Mesen_FallopianLig_Fetal,Ovary,5350
Mesen_FallopianLig_Fetal,Mesonephros,15
Mesen_FallopianSMCs_Fetal,Reproductive tract,5351
Mesen_FallopianSMCs_Fetal,Ovary,3062
Mesen_GlansFib_Fetal,Reproductive tract,5416
Mesen_GonadalFibs_Undiff,Ovary,22648
Mesen_GonadalFibs_Undiff,Reproductive tract,3219
Mesen_GonadalFibs_Undiff,Mesonephros,188
Mesen_LabiaFib_Fetal,Reproductive tract,1794
Mesen_LabioScrotalSwelling_Fetal,Reproductive tract,6772
Mesen_LabioScrotalSwelling_Fetal,Mesonephros,31
Mesen_LabioScrotalSwelling_Fetal,Ovary,27
Mesen_MesonephricFibs_Fetal,Reproductive tract,15472
Mesen_MesonephricFibs_Fetal,Ovary,11387
Mesen_MesonephricFibs_Fetal,Mesonephros,1662
Mesen_MullerianFib,Mesonephros,936
Mesen_MullerianFib,Ovary,870
Mesen_MullerianFib,Reproductive tract,665
Mesen_OvarianFibs_AdvLike,Ovary,507
Mesen_OvarianFibs_Fetal,Ovary,31981
Mesen_OvarianFibs_Fetal,Reproductive tract,137
Mesen_OvarianFibs_Fetal,Mesonephros,15
Mesen_OvarianFibs_InncorMedulla,Ovary,125985
Mesen_OvarianFibs_Medulla_SMCsLike,Ovary,13705
Mesen_OvarianFibs_Outcor,Ovary,21434
Mesen_OvarianFibs_Perifol,Ovary,44411
Mesen_OvarianInclFibs,Ovary,96
Mesen_PV_Fetal,Reproductive tract,16405
Mesen_PV_Fetal,Ovary,9825
Mesen_PV_Fetal,Mesonephros,2667
Mesen_Pericyte,Uterus,19980
Mesen_Pericyte,Ovary,11656
Mesen_Pericyte,Vagina,5998
Mesen_Pericyte,Fallopian Tube,1143
Mesen_Pericyte,Cervix,127
Mesen_Pericyte_Cyc,Uterus,3317
Mesen_Pericyte_Cyc,Ovary,1162
Mesen_Pericyte_Cyc,Fallopian Tube,18
Mesen_Pericyte_Cyc,Vagina,16
Mesen_Pericyte_Cyc,Cervix,9
Mesen_Pericyte_EndoSpiralArt,Uterus,5977
Mesen_Pericyte_EndoSpiralArt,Ovary,608
Mesen_Pericyte_EndoSpiralArt,Vagina,18
Mesen_Pericyte_EndoSpiralArt,Cervix,7
Mesen_Pericyte_EndoSpiralArt,Fallopian Tube,7
Mesen_Pericyte_EndoStromalLike,Uterus,10229
Mesen_Pericyte_EndoStromalLike_MenstrualFluid,Uterus,1272
Mesen_Pericyte_SMCsIntr,Uterus,5610
Mesen_Pericyte_SMCsIntr,Fallopian Tube,1584
Mesen_Pericyte_SMCsIntr,Vagina,644
Mesen_Pericyte_SMCsIntr,Ovary,326
Mesen_Pericyte_SMCsIntr,Cervix,3
Mesen_Prepuce_Fetal,Reproductive tract,2243
Mesen_SMCs,Uterus,24767
Mesen_SMCs,Fallopian Tube,15985
Mesen_SMCs,Ovary,521
Mesen_SMCs,Vagina,215
Mesen_Theca_Atretic,Ovary,3239
Mesen_Theca_Externa,Ovary,30089
Mesen_Theca_Interna_Cyc,Ovary,9366
Mesen_Theca_Interna_Perifol,Ovary,5148
Mesen_Theca_Interna_Steroid,Ovary,8428
Mesen_UGSFib_Lower,Reproductive tract,6223
Mesen_UGSFib_Lower,Ovary,53
Mesen_UGSFib_Lower,Mesonephros,1
Mesen_UGSFib_Upper,Reproductive tract,6070
Mesen_UGSFib_Upper,Ovary,5094
Mesen_UGSFib_Upper,Mesonephros,238
Mesen_UGSLig,Reproductive tract,2646
Mesen_UGSLig,Ovary,15
Mesen_UGSSMCs,Reproductive tract,382
Mesen_UGSSMCs,Ovary,1
Mesen_UterotubalJunctionFibs,Fallopian Tube,150
Mesen_UterusFibs_Fetal,Reproductive tract,28572
Mesen_UterusFibs_Fetal,Ovary,829
Mesen_UterusFibs_Fetal,Mesonephros,61
Mesen_UterusLig_Fetal,Reproductive tract,11695
Mesen_UterusLig_Fetal,Ovary,641
Mesen_UterusLig_Fetal,Mesonephros,28
Mesen_UterusSMCs_Fetal,Reproductive tract,7529
Mesen_UterusSMCs_Fetal,Ovary,21
Mesen_VaginaFib_Lower_Fetal,Ovary,619
Mesen_VaginaFib_Lower_Fetal,Reproductive tract,26
Mesen_VaginaFibs,Vagina,1456
Mesen_VaginaFibs,Cervix,7
Mesen_VaginaFibs_Upper_Fetal,Reproductive tract,7747
Mesen_VaginaFibs_Upper_Fetal,Ovary,178
Mesen_VaginaSMCs_Lower_Fetal,Reproductive tract,1238
Mesen_VaginaSMCs_Lower_Fetal,Mesonephros,73
Mesen_vSMCs_largeArt,Fallopian Tube,11562
Mesen_vSMCs_largeArt,Uterus,11559
Mesen_vSMCs_largeArt,Ovary,8352
Mesen_vSMCs_largeArt,Vagina,2205
Mesen_vSMCs_medArt,Ovary,32424
Mesen_vSMCs_medArt,Uterus,15822
Mesen_vSMCs_medArt,Fallopian Tube,2149
Mesen_vSMCs_medArt,Vagina,745
Mesen_vSMCs_medArt,Cervix,1
