celltype_HCA_fine,Developmental_stage,n_cells
Mesen_Pericyte_SMCsIntr,paediatric,46
Mesen_Pericyte_SMCsIntr,pubertal,13
Mesen_Prepuce_Fetal,Fetal,2243
Mesen_SMCs,Adult,41382
Mesen_SMCs,paediatric,88
Mesen_SMCs,pubertal,18
Mesen_Theca_Atretic,Adult,3145
Mesen_Theca_Atretic,paediatric,84
Mesen_Theca_Atretic,pubertal,9
Mesen_Theca_Atretic,postpubertal,1
Mesen_Theca_Externa,Adult,15279
Mesen_Theca_Externa,paediatric,13260
Mesen_Theca_Externa,pubertal,1221
Mesen_Theca_Externa,postpubertal,329
Mesen_Theca_Interna_Cyc,Adult,8449
Mesen_Theca_Interna_Cyc,paediatric,771
Mesen_Theca_Interna_Cyc,pubertal,146
Mesen_Theca_Interna_Perifol,Adult,2994
Mesen_Theca_Interna_Perifol,paediatric,2000
Mesen_Theca_Interna_Perifol,pubertal,150
Mesen_Theca_Interna_Perifol,postpubertal,4
Mesen_Theca_Interna_Steroid,Adult,5844
Mesen_Theca_Interna_Steroid,paediatric,1939
Mesen_Theca_Interna_Steroid,pubertal,639
Mesen_Theca_Interna_Steroid,postpubertal,6
Mesen_UGSFib_Lower,Fetal,6277
Mesen_UGSFib_Upper,Fetal,11402
Mesen_UGSLig,Fetal,2661
Mesen_UGSSMCs,Fetal,383
Mesen_UterotubalJunctionFibs,Adult,150
Mesen_UterusFibs_Fetal,Fetal,29462
Mesen_UterusLig_Fetal,Fetal,12364
Mesen_UterusSMCs_Fetal,Fetal,7550
Mesen_VaginaFib_Lower_Fetal,Fetal,645
Mesen_VaginaFibs,Adult,1463
Mesen_VaginaFibs_Upper_Fetal,Fetal,7925
Mesen_VaginaSMCs_Lower_Fetal,Fetal,1311
Mesen_vSMCs_largeArt,Adult,33579
Mesen_vSMCs_largeArt,paediatric,76
Mesen_vSMCs_largeArt,pubertal,19
Mesen_vSMCs_largeArt,postpubertal,4
Mesen_vSMCs_medArt,Adult,35240
Mesen_vSMCs_medArt,paediatric,8584
Mesen_vSMCs_medArt,pubertal,6871
Mesen_vSMCs_medArt,postpubertal,446
Meso_GonadalCoelEpi,Fetal,2840
Meso_OSE,Adult,819
Meso_OSE,paediatric,20
Meso_OSE,postpubertal,1
Meso_OSE,pubertal,1
Meso_OSE_Fetal,Fetal,23115
Meso_ParamesoCoelEpi,Fetal,8490
Meso_Peritoneal_Fetal,Fetal,4720
Meso_serosa,Adult,453
Neural_Melanocyte_Fetal,Fetal,88
Neural_Schwann,paediatric,395
Neural_Schwann,Adult,314
Neural_Schwann,pubertal,71
Neural_Schwann,postpubertal,1
Neural_Schwann_Cyc,Fetal,2401
Neural_Schwann_Fetal,Fetal,5801
Neural_Schwann_Immature,Fetal,35
Neural_Schwann_Precursor,Fetal,847
Neural_Schwann_myelinating,Adult,14
Neural_Schwann_myelinating,paediatric,7
Neural_Schwann_myelinating,pubertal,1
Neural_SympatheticNeurons_Immature,Fetal,4469
Neural_SympatheticNeurons_Immature_Cyc,Fetal,394
Neural_SympatheticNeurons_Noradrenergic,Fetal,246
